txn_id,user_id,merchant_id,merchant_name,device_id,amount,upi_app,txn_type,hour,day_of_week,is_weekend,is_night,is_new_device,is_new_merchant,velocity_1h,lat,lon,city,timestamp,label
TXN_HR_0001,USR_0175,MER_099,MakeMyTrip,DEV_0014,999,bhim,P2P,18,5,1,0,0,0,2,17.6827,78.818,Hyderabad,2025-03-22 19:25:00,LEGIT
TXN_HR_0002,USR_0165,MER_070,MakeMyTrip,DEV_0253,4999,phonepe,BILL,13,3,0,0,0,0,2,18.2132,73.4693,Pune,2025-03-20 20:48:00,LEGIT
TXN_HR_0003,USR_0086,MER_061,Unknown Merchant,DEV_0266,200000,bhim,P2P,1,3,0,1,1,0,8,18.904,72.9908,Mumbai,2025-03-20 06:20:00,FRAUD
TXN_HR_0004,USR_0005,MER_027,PharmEasy,DEV_0074,2499,bhim,P2M,11,5,1,0,0,0,2,18.7385,72.6182,Mumbai,2025-03-22 07:59:00,LEGIT
TXN_HR_0005,USR_0172,MER_013,Swiggy,DEV_0072,4999,bhim,RECHARGE,10,3,0,0,0,0,1,18.0272,73.7403,Pune,2025-03-20 23:01:00,LEGIT
TXN_HR_0006,USR_0048,MER_041,Urban Company,DEV_0231,999,amazon_pay,P2M,13,6,1,0,0,0,2,23.4743,72.556,Ahmedabad,2025-03-23 09:35:00,LEGIT
TXN_HR_0007,USR_0901,MER_666,Unknown Merchant,DEV_RING_001,150000,phonepe,P2P,1,3,0,1,1,1,6,28.6204,77.1996,Delhi,2025-03-20 01:02:00,FRAUD
TXN_HR_0008,USR_0140,MER_005,Dunzo,DEV_0496,4999,paytm,P2M,17,5,1,0,0,0,1,22.8416,88.5215,Kolkata,2025-03-22 22:02:00,LEGIT
TXN_HR_0009,USR_0096,MER_008,Unknown Merchant,DEV_0317,150000,amazon_pay,P2P,4,5,1,1,0,1,6,16.8916,78.5383,Hyderabad,2025-03-22 01:45:00,FRAUD
TXN_HR_0010,USR_0182,MER_015,Amazon,DEV_0435,299,paytm,P2M,13,6,1,0,0,0,1,29.0438,77.4495,Delhi,2025-03-23 02:56:00,LEGIT
TXN_HR_0011,USR_0186,MER_089,Unknown Merchant,DEV_0323,150000,gpay,P2P,4,3,0,1,1,1,15,22.6502,88.5853,Kolkata,2025-03-20 08:55:00,FRAUD
TXN_HR_0012,USR_0174,MER_099,Urban Company,DEV_0370,2499,paytm,BILL,17,3,0,0,0,0,1,18.9777,73.6357,Pune,2025-03-20 11:59:00,LEGIT
TXN_HR_0013,USR_0118,MER_022,Hotstar,DEV_0408,4999,paytm,P2P,20,4,0,0,0,0,1,23.2428,72.5597,Ahmedabad,2025-03-21 22:57:00,LEGIT
TXN_HR_0014,USR_0915,MER_777,Unknown Merchant,DEV_RING_005,75000,phonepe,P2P,1,3,0,1,1,1,8,28.6228,77.2163,Delhi,2025-03-20 01:16:00,FRAUD
TXN_HR_0015,USR_0903,MER_666,Unknown Merchant,DEV_RING_003,150000,phonepe,P2P,1,3,0,1,1,1,6,28.6139,77.2115,Delhi,2025-03-20 01:11:00,FRAUD
TXN_HR_0016,USR_0084,MER_050,Unknown Merchant,DEV_0007,200000,paytm,P2P,4,5,1,1,1,0,14,29.0191,77.6872,Delhi,2025-03-22 13:01:00,FRAUD
TXN_HR_0017,USR_0196,MER_052,Reliance,DEV_0024,2499,bhim,P2M,20,3,0,0,0,0,1,12.9452,80.0593,Chennai,2025-03-20 03:30:00,LEGIT
TXN_HR_0018,USR_0067,MER_084,Reliance,DEV_0355,299,phonepe,P2M,13,4,0,0,0,0,1,18.4858,73.5164,Pune,2025-03-21 00:16:00,LEGIT
TXN_HR_0019,USR_0075,MER_095,Hotstar,DEV_0325,2499,bhim,P2P,15,5,1,0,0,0,2,12.8477,77.9111,Bangalore,2025-03-22 18:00:00,LEGIT
TXN_HR_0020,USR_0102,MER_045,Dunzo,DEV_0412,4999,phonepe,RECHARGE,10,3,0,0,0,0,1,12.8703,80.4848,Chennai,2025-03-20 15:02:00,LEGIT
TXN_HR_0021,USR_0913,MER_777,Unknown Merchant,DEV_RING_003,75000,phonepe,P2P,1,3,0,1,1,1,8,28.6142,77.2011,Delhi,2025-03-20 01:11:00,FRAUD
TXN_HR_0022,USR_0014,MER_013,BigBazaar,DEV_0170,999,bhim,P2M,19,3,0,0,0,0,1,16.8902,78.5371,Hyderabad,2025-03-20 16:51:00,LEGIT
TXN_HR_0023,USR_0106,MER_054,Unknown Merchant,DEV_0286,200000,amazon_pay,P2P,0,4,0,1,1,1,9,22.8528,72.1505,Ahmedabad,2025-03-21 16:09:00,FRAUD
TXN_HR_0024,USR_0164,MER_038,Reliance,DEV_0315,299,phonepe,P2P,20,4,0,0,0,0,1,13.0609,80.2257,Chennai,2025-03-21 01:43:00,LEGIT
TXN_HR_0025,USR_0014,MER_035,BigBazaar,DEV_0345,999,amazon_pay,P2M,17,4,0,0,0,0,1,28.3021,77.4707,Delhi,2025-03-21 17:04:00,LEGIT
TXN_HR_0026,USR_0174,MER_083,Unknown Merchant,DEV_0205,200000,paytm,P2P,4,5,1,1,0,1,6,18.6746,72.5997,Mumbai,2025-03-22 22:58:00,FRAUD
TXN_HR_0027,USR_0902,MER_666,Unknown Merchant,DEV_RING_002,150000,phonepe,P2P,1,3,0,1,1,1,10,28.6092,77.2032,Delhi,2025-03-20 01:04:00,FRAUD
TXN_HR_0028,USR_0098,MER_049,MakeMyTrip,DEV_0244,4999,gpay,P2M,10,5,1,0,0,0,1,18.6587,73.223,Mumbai,2025-03-22 04:41:00,LEGIT
TXN_HR_0029,USR_0046,MER_005,Urban Company,DEV_0204,4999,bhim,P2P,11,3,0,0,0,0,2,19.4527,72.387,Mumbai,2025-03-20 19:47:00,LEGIT
TXN_HR_0030,USR_0052,MER_097,Unknown Merchant,DEV_0494,200000,paytm,P2P,3,3,0,1,1,1,7,23.1748,72.3036,Ahmedabad,2025-03-20 18:47:00,FRAUD
TXN_HR_0031,USR_0173,MER_091,Dunzo,DEV_0153,999,amazon_pay,P2M,18,6,1,0,0,0,1,22.8357,72.31,Ahmedabad,2025-03-23 07:07:00,LEGIT
TXN_HR_0032,USR_0912,MER_777,Unknown Merchant,DEV_RING_002,85000,phonepe,P2P,1,3,0,1,1,1,8,28.6186,77.2162,Delhi,2025-03-20 01:05:00,FRAUD
TXN_HR_0033,USR_0147,MER_069,Swiggy,DEV_0085,999,paytm,BILL,17,4,0,0,0,0,1,19.2563,73.0946,Mumbai,2025-03-21 04:22:00,LEGIT
