txn_id,user_id,merchant_id,merchant_name,device_id,amount,upi_app,txn_type,hour,day_of_week,is_weekend,is_night,is_new_device,is_new_merchant,velocity_1h,lat,lon,city,timestamp,label
TXN_M_0001,USR_0039,MER_098,BigBazaar,DEV_0311,85000,amazon_pay,P2M,2,0,0,1,0,1,6,19.2504,72.7131,Mumbai,2025-03-10 00:15:00,FRAUD
TXN_M_0002,USR_0077,MER_095,Flipkart,DEV_0486,14999,phonepe,BILL,12,0,0,0,0,0,3,23.0978,72.4302,Ahmedabad,2025-03-10 02:22:00,LEGIT
TXN_M_0003,USR_0142,MER_038,Amazon,DEV_0119,500,paytm,P2P,8,0,0,0,0,0,2,13.0958,77.7164,Bangalore,2025-03-10 04:14:00,LEGIT
TXN_M_0004,USR_0068,MER_083,Swiggy,DEV_0466,200000,paytm,P2M,4,0,0,1,1,1,8,17.581,78.2295,Hyderabad,2025-03-10 06:32:00,FRAUD
TXN_M_0005,USR_0113,MER_065,MakeMyTrip,DEV_0253,500,bhim,BILL,19,0,0,0,0,0,2,12.831,79.9946,Chennai,2025-03-10 08:29:00,LEGIT
TXN_M_0006,USR_0007,MER_098,IRCTC,DEV_0421,500,paytm,P2P,18,0,0,0,0,1,3,13.1284,80.4286,Chennai,2025-03-10 10:43:00,LEGIT
TXN_M_0007,USR_0072,MER_053,Reliance,DEV_0165,999,gpay,BILL,18,0,0,0,0,0,2,23.2371,72.4693,Ahmedabad,2025-03-10 12:41:00,LEGIT
TXN_M_0008,USR_0195,MER_099,BigBazaar,DEV_0443,4999,amazon_pay,P2M,15,0,0,0,0,0,1,22.7676,88.0646,Kolkata,2025-03-10 15:04:00,LEGIT
TXN_M_0009,USR_0014,MER_027,BookMyShow,DEV_0282,999,phonepe,RECHARGE,17,0,0,0,0,0,2,22.8292,88.3268,Kolkata,2025-03-10 17:15:00,LEGIT
TXN_M_0010,USR_0162,MER_053,Flipkart,DEV_0116,4999,gpay,P2P,19,0,0,0,0,1,1,19.0529,72.6482,Mumbai,2025-03-10 19:16:00,LEGIT
TXN_M_0011,USR_0131,MER_071,Swiggy,DEV_0197,9999,phonepe,RECHARGE,14,0,0,0,0,0,2,13.3358,80.2756,Chennai,2025-03-10 21:26:00,LEGIT
TXN_M_0012,USR_0071,MER_039,Urban Company,DEV_0301,200000,amazon_pay,P2P,2,0,0,1,0,1,9,28.9132,77.2028,Delhi,2025-03-10 23:34:00,FRAUD
TXN_M_0013,USR_0089,MER_031,PharmEasy,DEV_0197,1499,phonepe,BILL,15,1,0,0,0,0,2,23.2361,72.5179,Ahmedabad,2025-03-11 01:16:00,LEGIT
