txn_id,user_id,merchant_id,merchant_name,device_id,amount,upi_app,txn_type,hour,day_of_week,is_weekend,is_night,is_new_device,is_new_merchant,velocity_1h,lat,lon,city,timestamp
TXN_N_0001,USR_0190,MER_036,Zomato,DEV_0115,199,phonepe,P2M,9,5,1,0,0,0,1,28.6229,77.1622,Delhi,2025-03-01 09:40:00
TXN_N_0002,USR_0130,MER_078,Amazon,DEV_0288,999,phonepe,BILL,12,5,1,0,0,0,2,17.4159,78.4373,Hyderabad,2025-03-01 12:53:00
TXN_N_0003,USR_0088,MER_036,Swiggy,DEV_0111,4999,paytm,P2M,17,5,1,0,0,0,2,12.982,77.6253,Bangalore,2025-03-01 17:27:00
TXN_N_0004,USR_0032,MER_049,Flipkart,DEV_0283,9999,paytm,BILL,21,5,1,0,0,0,1,23.043,72.526,Ahmedabad,2025-03-01 21:10:00
TXN_N_0005,USR_0060,MER_013,BigBazaar,DEV_0143,299,bhim,P2M,0,6,1,1,0,0,3,13.0594,80.3144,Chennai,2025-03-02 00:26:00
TXN_N_0006,USR_0163,MER_022,MakeMyTrip,DEV_0374,14999,phonepe,P2M,4,6,1,1,0,0,3,28.6327,77.181,Delhi,2025-03-02 04:41:00
TXN_N_0007,USR_0009,MER_041,BigBazaar,DEV_0138,999,gpay,P2M,8,6,1,0,0,0,3,19.0575,72.8932,Mumbai,2025-03-02 08:08:00
TXN_N_0008,USR_0068,MER_018,Zomato,DEV_0382,499,amazon_pay,BILL,12,6,1,0,0,0,3,23.0124,72.5433,Ahmedabad,2025-03-02 12:01:00
TXN_N_0009,USR_0194,MER_007,Urban Company,DEV_0057,299,phonepe,P2M,15,6,1,0,0,0,1,23.011,72.581,Ahmedabad,2025-03-02 15:32:00
TXN_N_0010,USR_0003,MER_088,Hotstar,DEV_0059,9999,amazon_pay,P2M,19,6,1,0,0,0,2,13.0762,80.2661,Chennai,2025-03-02 19:41:00
TXN_N_0011,USR_0196,MER_023,MakeMyTrip,DEV_0468,9999,gpay,P2M,23,6,1,1,0,0,1,13.048,80.297,Chennai,2025-03-02 23:46:00
TXN_N_0012,USR_0083,MER_063,Amazon,DEV_0058,14999,paytm,P2M,3,0,0,1,0,0,3,19.1207,72.8363,Mumbai,2025-03-03 03:22:00
TXN_N_0013,USR_0197,MER_017,Swiggy,DEV_0338,9999,bhim,BILL,7,0,0,0,0,0,3,28.6062,77.1802,Delhi,2025-03-03 07:07:00
TXN_N_0014,USR_0103,MER_086,IRCTC,DEV_0192,1499,bhim,BILL,10,0,0,0,0,0,1,17.3688,78.4955,Hyderabad,2025-03-03 10:58:00
TXN_N_0015,USR_0019,MER_091,IRCTC,DEV_0031,199,phonepe,P2M,14,0,0,0,0,0,1,17.3864,78.4645,Hyderabad,2025-03-03 14:26:00
TXN_N_0016,USR_0034,MER_093,PharmEasy,DEV_0296,9999,bhim,P2M,18,0,0,0,0,0,1,17.3444,78.5026,Hyderabad,2025-03-03 18:31:00
TXN_N_0017,USR_0120,MER_094,Amazon,DEV_0345,4999,gpay,P2M,22,0,0,0,0,0,1,22.5475,88.3329,Kolkata,2025-03-03 22:10:00
TXN_N_0018,USR_0047,MER_036,Myntra,DEV_0128,4999,gpay,RECHARGE,2,1,0,1,0,0,1,12.9267,77.6445,Bangalore,2025-03-04 02:04:00
TXN_N_0019,USR_0193,MER_031,Swiggy,DEV_0209,299,bhim,RECHARGE,6,1,0,0,0,0,1,19.0425,72.8279,Mumbai,2025-03-04 06:17:00
TXN_N_0020,USR_0074,MER_055,Hotstar,DEV_0491,7499,amazon_pay,RECHARGE,9,1,0,0,0,0,1,13.0906,80.2749,Chennai,2025-03-04 09:36:00
TXN_N_0021,USR_0013,MER_075,Myntra,DEV_0258,199,amazon_pay,P2M,13,1,0,0,0,0,1,18.4773,73.8135,Pune,2025-03-04 13:47:00
TXN_N_0022,USR_0031,MER_073,Zomato,DEV_0297,4999,amazon_pay,P2M,17,1,0,0,0,0,3,17.3915,78.4683,Hyderabad,2025-03-04 17:43:00
TXN_N_0023,USR_0184,MER_041,Zomato,DEV_0136,19999,bhim,P2M,20,1,0,0,0,0,2,17.4279,78.5303,Hyderabad,2025-03-04 20:52:00
TXN_N_0024,USR_0145,MER_013,Flipkart,DEV_0276,14999,phonepe,BILL,0,2,0,1,0,0,1,23.0604,72.5584,Ahmedabad,2025-03-05 00:24:00
TXN_N_0025,USR_0181,MER_039,PharmEasy,DEV_0414,9999,amazon_pay,P2M,4,2,0,1,0,0,3,22.9829,72.6092,Ahmedabad,2025-03-05 04:22:00
TXN_N_0026,USR_0191,MER_071,Swiggy,DEV_0140,299,paytm,BILL,8,2,0,0,0,0,3,28.6273,77.1854,Delhi,2025-03-05 08:16:00
TXN_N_0027,USR_0024,MER_082,BigBazaar,DEV_0425,199,paytm,P2M,12,2,0,0,1,0,3,13.1307,80.2369,Chennai,2025-03-05 12:19:00
TXN_N_0028,USR_0003,MER_015,Flipkart,DEV_0484,9999,phonepe,BILL,16,2,0,0,1,0,3,22.5374,88.3266,Kolkata,2025-03-05 16:04:00
TXN_N_0029,USR_0092,MER_027,IRCTC,DEV_0128,199,gpay,P2M,19,2,0,0,0,0,2,18.5678,73.8816,Pune,2025-03-05 19:43:00
